№:21
€:12
$:10
денежная единица:4
₽:4
%:3
¥:3
градусов цельсия:1
фунту стерлингов:1
°:1
фунт стерлингов:1
денежных единиц:1
фунтов стерлингов:1
денежную единицу:1
