∃:102
∈:67
>:61
∪:55
∋:50
∀:32
®:19
<:16
Δ:13
α:11
⇒:8
β:8
χ:7
+:7
Σ:6
=:5
Γ:5
ο:4
∠:4
ν:4
Β:4
∉:4
τ:3
λ:2
ω:2
∝:2
θ:2
ρ:2
κ:2
⊥:1
φ:1
∩:1
-:1
⊃:1
υ:1
>=:1
ζ:1
ξ:1
Μ:1
π:1
