∃:63
∪:35
∈:34
∋:32
>:23
∀:15
®:8
<:8
Γ:6
α:6
τ:5
β:4
⇒:4
μ:4
ω:4
∠:4
Μ:4
χ:3
ν:3
+:3
∩:2
=:2
∉:2
θ:2
Δ:2
κ:1
λ:1
Σ:1
ο:1
-:1
φ:1
