∃:42
∈:29
∪:28
∋:25
>:25
<:15
α:9
β:7
Δ:6
π:5
⇒:4
∠:3
Γ:3
Μ:2
=:2
ε:2
χ:2
ρ:2
+:2
θ:2
υ:1
ζ:1
ν:1
Θ:1
