>:17
∃:16
∈:12
∋:11
∪:11
∀:8
Μ:7
<:3
®:3
α:2
=:2
∉:2
+:1
≅:1
φ:1
τ:1
Δ:1
∠:1
∞:1
χ:1
ρ:1
θ:1
β:1
Γ:1
λ:1
π:1
⊥:1
