abbreviation,encounters
г,3917
к-рый,1030
чел.,649
т.,509
дек.,447
гг,377
вв.,371
ок.,339
ч.,336
гг.,311
неск.,272
род.,259
им.,257
с.,254
напр.,240
назв.,237
д.,233
м.,228
сов.,198
кол-во,195
яз.,184
рус.,184
нас.,177
р-н,170
наиб.,168
рос.,166
офиц.,165
пл.,158
б.,153
гл.,153
ун-т,149
кн.,144
чл.,140
гос.,131
мир.,130
тыс.,124
ум.,122
мн.,122
ин-т,121
нац.,119
руб.,119
ж.,118
впосл.,116
вкл.,113
амер.,112
др.,110
изв.,108
моск.,106
реж.,106
науч.,104
засл.,101
отд.,90
пр-во,89
посл.,89
р.,88
пам.,87
дл.,84
нар.,84
нач.,84
зап.,81
худ.,79
долл.,76
изд.,75
предс.,74
пос.,73
единств.,72
гос-ва,72
дир.,71
гр.,70
брит.,70
междунар.,68
гор.,67
сев.,67
след.,67
уч-ще,67
художеств.,66
сб.,65
мл.,63
адм.,63
юж.,61
мон.,61
през.,60
выс.,59
млн,59
зол.,58
нем.,58
ф-т,58
франц.,58
быв.,57
ред.,57
о-в,57
вел.,56
польск.,56
совр.,56
изд-во,56
мат-лы,56
б-ка,55
зам.,53
стр-во,51
в.,51
терр.,51
муз.,50
вопр.,50
укр.,49
историч.,49
оз.,48
бр.,48
вест.,48
орг-ция,47
сотр.,47
рук-во,47
обществ.,46
вып.,46
произ-во,46
центр.,44
полит.,44
лит.,43
респ.,43
иск-во,43
ж.-д.,41
об-во,41
ю.,41
дет.,40
жел.,40
соц.,40
белорус.,39
окт.,39
созд.,39
собств.,38
кон.,38
лит-ра,38
англ,37
жен.,37
располож.,37
биогр.,36
серебр.,36
бар.,36
творч.,35
сент.,35
рук.,35
янв.,34
вост.,33
собр.,33
секр.,33
гос-во,33
экз.,31
иссл.,31
архит.,30
газ.,30
л.,29
европ.,29
авг.,28
доп.,28
имп.,27
технич.,27
муницип.,27
дополнит.,27
пер.,27
шир.,26
бронз.,26
пом.,25
древн.,25
высш.,25
мемор.,25
сост.,25
ш.,24
постр.,23
обр.,23
апр.,23
февр.,23
греч.,23
ниж.,23
произв.,23
откр.,22
колл.,21
зав.,21
кам.,20
норв.,20
комис.,20
нояб.,20
краеведч.,20
б-ца,19
объед.,19
дерев.,19
докл.,19
акад.,19
букв.,19
уник.,18
посв.,18
демокр.,18
террит.,17
кит.,17
япон.,17
район.,17
наст.,17
звук.,17
коммерч.,16
прилож.,16
швед.,16
док-т,16
пост.,16
документ.,16
общ.,16
опред.,16
всерос.,16
иностр.,16
исслед.,16
исп.,15
итал.,15
сообщ.,15
театр.,15
внутр.,15
гражд.,15
св.,15
публ.,15
авт.,15
мин-во,15
сокр.,14
регион.,14
традиц.,14
церк.,14
татар.,14
рис.,14
псевд.,14
связ.,14
религ.,13
конф.,13
млрд,13
пед.,13
петерб.,13
опубл.,13
груз.,13
хут.,12
врем.,12
рец.,12
академич.,12
драм.,12
арх-ра,12
одноим.,12
сиб.,12
башк.,12
письм.,11
действит.,11
первонач.,11
пр.,11
сотр-во,11
муж.,11
зал.,11
ленингр.,11
з.,11
философ.,11
хоз.,11
азерб.,10
венгер.,10
анс.,10
революц.,10
внеш.,10
п-ов,10
чл.-корр.,10
монг.,10
с.-петерб.,10
азиат.,10
наб.,10
строит.,10
иллюстрир.,10
летоп.,10
архитект.,10
персон.,9
рим.,9
просп.,9
информ.,9
гал.,9
рев.,9
м,9
четв.,9
австрал.,9
араб.,9
евр.,9
этнич.,9
т-во,9
преп.,9
черкес.,9
фин.,8
просв.,8
географич.,8
универс.,8
археологич.,8
урал.,8
метал.,8
тип.,8
визант.,8
республ.,8
фактич.,7
всесоюз.,7
индивид.,7
самостоят.,7
издат.,7
эксперимент.,7
верх.,7
классич.,7
образоват.,7
болг.,7
искусств.,7
ср.-век.,6
губ.,6
перc.,6
кавказ.,6
производств.,6
австр.,6
дол.,6
соч.,6
социалистич.,6
прикл.,6
эт.,5
скульпт.,5
благотворит.,5
уч.,5
купеч.,5
христ.,5
будд.,5
фотогр.,5
аналитич.,5
сохр.,5
пгр.,5
кирп.,5
экспедиц.,5
публич.,5
методич.,5
мрам.,5
торжеств.,4
заключ.,4
этнографич.,4
идеологич.,4
бюлл.,4
декор.,4
предисл.,4
уезд.,4
социологич.,4
филологич.,4
количеств.,4
илл.,4
правительств.,4
потомств.,3
кап.,3
печ.,3
эстетич.,3
библ.,3
теоретич.,3
реконстр.,3
дис.,3
корр.,3
княж.,3
яросл.,3
бульв.,3
редакц.,3
качеств.,3
лит-ведение,3
наим.,3
позд.,3
эмоц.,3
мифол.,3
км,3
др.-рус.,3
альм.,3
справоч.,3
клб,3
фольк.,3
бельг.,3
тематич.,3
вспомогат.,2
фундамент.,2
цв.,2
слав.,2
разл.,2
систематич.,2
зап.-европ.,2
изобразит.,2
пластич.,2
синтетич.,2
артистич.,2
дипломатич.,2
тов.,2
флам.,2
заруб.,2
стан.,2
функц.,2
крест.,2
прим.,2
нумизматич.,2
лекц.,2
чечен.,2
периодич.,2
голл.,2
мордов.,2
языч.,1
пожизн.,1
послесл.,1
комм.,1
словесн.,1
перераб.,1
прижизн.,1
отт.,1
стекл.,1
национализ.,1
многочисл.,1
переим.,1
эксп.,1
драг.,1
графич.,1
экологич.,1
епарх.,1
нидерл.,1
старослав.,1
ежекварт.,1
чуваш.,1
эволюц.,1
сузд.,1
высококачеств.,1
конфиск.,1
размещ.,1
стилистич.,1
abbreviation,1
трлн,1
подмоск.,1
веществ.,1
органич.,1
организац.,1
якут.,1
квалифицир.,1
специализир.,1
театрализ.,1
монумент.,1
яз-ведение,1
