meaning,abbreviation
метра,м
метров,м
секунд,с
секунда,с
ампер,А
зивертов,Зв
зиверта,Зв
ньютонов,Н
ньютона,Н
генри,Гн
фарад,Ф
кулон,Кл
грамм,г
граммов,г
литров,л
литра,л
