meaning,abbreviation
бывший в употреблении,б/у
бывшая в употреблении,б/у
бывшее в употреблении,б/у
бывшие в употреблении,б/у
век,в
века,в
год,г
году,г
годы,гг
годах,гг
тысяч,тыс.
тысячи,тыс.
буквально,букв.
миллион,млн
миллиона,млн
миллионов,млн
миллиард,млрд
миллиарда,млрд
миллиардов,млрд
триллион,трлн
триллиона,трлн
триллионов,трлн
родился,род.
родилась,род.
умер,ум.
умерла,ум.
калибр,клб
калибра,клб
образца,обр.
образец,обр.
сокращенно,сокр.
сокращённо,сокр.
сокращение,сокр.
человек,чел.
человека,чел.
экземпляры,экз.
экземпляр,экз.
экземпляров,экз.
экземпляра,экз.
смотри,см.
сравни,ср.
долларов,долл.
доллара,долл.
рублей,руб.
рубля,руб.
английский,англ.
русский,рус.
август, авг.
академия наук, ан
апрель, апр.
археографический, археогр.
библиотека, б-ка
библиографический, библиогр.
бюллетень, бюлл.
вестник, вест.
вопросы, вопр.
выпуск, вып.
выпуск, вып.
газета, газ.
государственный, гос.
государственная, гос.
государство, гос-во
государства, гос-ва
губернский, губ.
губернская, губ.
губернское, губ.
декабрь, дек.
декабря, дек.
доклады, докл.
доклад, докл.
дополнение, доп.
дополненное, доп.
дополненная, доп.
дополненный, доп.
древний, древн.
древнее, древн.
древняя, древн.
древнерусский, древнерус.
древнерусское, древнерус.
древнерусская, древнерус.
журнал, журн.
записки, зап.
известия, изв.
издание, изд.
издательство, изд-во
иллюстрация, илл.
иллюстрации, илл.
институт, ин-т
исправленное, испр.
исторический, ист.
историческое, ист.
историческая, ист.
книга, кн.
книжный, кн.
книгоиздательство, кн-во
комиссия, комис.
комментарий, комм.
ленинград, л.
ленинградский, ленингр.
летопись, летоп.
летописи, летоп.
литература, лит-ра
литературный, лит.
москва, м.
министерство, мин-во
московский, москов.
московская, москов.
народный, нар.
научный, науч.
научные, науч.
общественный, общ.
общественные, общ.
общество, общ-во
октябрь, окт.
отделение, отд.
отдельный, отд.
оттиск, отт.
педагогический, пед.
петроград, пгр.
письменность, письм.
переработанный, перераб.
послесловие, послесл.
предисловие, предисл.
приложение, прилож.
примечания, прим.
просвещение, просв.
революция, рев.
редактор, ред.
редакция, ред.
рецензия, рец.
рецензии, рец.
рисунки, рис.
российская, рос.
российские, рос.
русский, рус.
сборник, сб.
сентябрь, сент.
синодальная, синод.
словесность, словесн.
советский, сов.
советская, сов.
сообщения, сообщ.
составитель, сост.
таблица(ы), табл.
творчество, творч.
типография, тип.
том, т.
товарищество, т-во
университетский(ие), унив.
университет, ун-т
ученый, уч.
ученые, уч.
факультет, ф-т
февраль, февр.
филологический, филолог.
часть, ч.
язык, яз.
январь, янв.
август, авг.
австрийский, австр.
австрийская, австр.
австрийское, австр.
австралийский, австрал.
австралийская, австрал.
австралийское, австрал.
автономный, авт.
автономная, авт.
автономное, авт.
административный, адм.
административная, адм.
административное, адм.
административно-территориальный, адм.-терр.
административно-территориальная, адм.-терр.
административно-территориальное, адм.-терр.
азербайджанский, азерб.
азербайджанская, азерб.
азербайджанское, азерб.
азиатский, азиат.
азиатская, азиат.
азиатское, азиат.
академик, акад.
академический, академич.
академическая, академич.
академическое, академич.
альманах, альм.
американский, амер.
американская, амер.
американское, амер.
аналитический, аналитич.
аналитическая, аналитич.
аналитическое, аналитич.
английский, англ
английская, англ
английское, англ
ансамбль, анс.
апрель, апр.
арабский, араб.
арабская, араб.
арабское, араб.
аристократический, аристократич.
аристократическая, аристократич.
аристократическое, аристократич.
артистический, артистич.
артистическая, артистич.
артистическое, артистич.
археологический, археологич.
археологическая, археологич.
археологическое, археологич.
архитектор, архит.
архитектурный, архитект.
архитектурная, архитект.
архитектурное, архитект.
архитектура, арх-ра
большой, б.
барон, бар.
башкирский, башк.
башкирская, башк.
башкирское, башк.
белорусский, белорус.
белорусская, белорус.
белорусское, белорус.
бельгийский, бельг.
бельгийская, бельг.
бельгийское, бельг.
библиографический, библ.
библиографическая, библ.
библиографическое, библ.
биографический, биогр.
биографическая, биогр.
биографическое, биогр.
библиотека, б-ка
благотворительный, благотворит.
благотворительная, благотворит.
благотворительное, благотворит.
болгарский, болг.
болгарская, болг.
болгарское, болг.
братья, бр.
британский, брит.
британская, брит.
британское, брит.
бронзовый, бронз.
бронзовая, бронз.
бронзовое, бронз.
буддийский, будд.
буддийская, будд.
буддийское, будд.
бульвар, бульв.
бумажный, бум.
бумажная, бум.
бумажное, бум.
больница, б-ца
бывший, быв.
бывшая, быв.
бывшое, быв.
бюллетень, бюлл.
восток, в.
век, в.
века, вв.
ведомственный, ведомств.
ведомственная, ведомств.
ведомственное, ведомств.
великий, вел.
великая, вел.
великое, вел.
венгерский, венгер.
венгерская, венгер.
венгерское, венгер.
верхний, верх.
верхная, верх.
верхное, верх.
вещественный, веществ.
вещественная, веществ.
вещественное, веществ.
византийский, визант.
византийская, визант.
византийское, визант.
включая, вкл.
внешний, внеш.
внешная, внеш.
внешное, внеш.
внутренний, внутр.
внутренная, внутр.
внутренное, внутр.
восточный, вост.
восточная, вост.
восточное, вост.
впоследствии, впосл.
временный, врем.
временная, врем.
временное, врем.
всероссийский, всерос.
всероссийская, всерос.
всероссийское, всерос.
всесоюзный, всесоюз.
всесоюзная, всесоюз.
всесоюзное, всесоюз.
вспомогательный, вспомогат.
вспомогательная, вспомогат.
вспомогательное, вспомогат.
выпуск, вып.
высота, выс.
высококачественный, высококачеств.
высококачественная, высококачеств.
высококачественное, высококачеств.
высший, высш.
высшая, высш.
высшое, высш.
газета, газ.
галерея, гал.
географический, географич.
географическая, географич.
географическое, географич.
главный, гл.
главная, гл.
главное, гл.
годы, гг.
голландский, голл.
голландская, голл.
голландское, голл.
городской, гор.
государственный, гос.
государственная, гос.
государственное, гос.
государство, гос-во
граф, гр.
гражданский, гражд.
гражданская, гражд.
гражданское, гражд.
графический, графич.
графическая, графич.
графическое, графич.
греческий, греч.
греческая, греч.
греческое, греч.
грузинский, груз.
грузинская, груз.
грузинское, груз.
гуманистический, гуманистич.
гуманистическая, гуманистич.
гуманистическое, гуманистич.
деревня, д.
действительный, действит.
действительная, действит.
действительное, действит.
декабрь, дек.
декоративный, декор.
декоративная, декор.
декоративное, декор.
декорационный, декорац.
декорационная, декорац.
декорационное, декорац.
декоративно-прикладной, декор.-прикл.
демократический, демокр.
демократическая, демокр.
демократическое, демокр.
деревянный, дерев.
деревянная, дерев.
деревянное, дерев.
детский, дет.
детская, дет.
детское, дет.
дипломатический, дипломатич.
дипломатическая, дипломатич.
дипломатическое, дипломатич.
директор, дир.
диссертация, дис.
длина, дл.
догматический, догматич.
догматическая, догматич.
догматическое, догматич.
документ, док-т
документальный, документ.
документальная, документ.
документальное, документ.
долина, дол.
дополнительный, дополнит.
дополнительная, дополнит.
дополнительное, дополнит.
другой, др.
драгоценный, драг.
драгоценная, драг.
драгоценное, драг.
драматический, драм.
драматическая, драм.
драматическое, драм.
древнерусский, др.-рус.
древнерусская, др.-рус.
древнерусское, др.-рус.
древнехристианский, др.-христ.
древнехристианская, др.-христ.
древнехристианское, др.-христ.
еврейский, евр.
еврейская, евр.
еврейское, евр.
европейский, европ.
европейская, европ.
европейское, европ.
единственный, единств.
единственная, единств.
единственное, единств.
ежеквартальный, ежекварт.
ежеквартальная, ежекварт.
ежеквартальное, ежекварт.
епархиальный, епарх.
епархиальная, епарх.
епархиальное, епарх.
журнал, ж.
железнодорожный, ж.-д.
железнодорожная, ж.-д.
железнодорожное, ж.-д.
железный, жел.
железная, жел.
железное, жел.
женский, жен.
женская, жен.
женское, жен.
запад, з.
заведующий, зав.
заведующая, зав.
заведующое, зав.
заграничный, загран.
заграничная, загран.
заграничное, загран.
заключительный, заключ.
заключительная, заключ.
заключительное, заключ.
залив, зал.
заместитель, зам.
западный, зап.
западная, зап.
западное, зап.
западноевропейский, зап.-европ.
западноевропейская, зап.-европ.
западноевропейское, зап.-европ.
западносибирский, зап.-сиб.
западносибирская, зап.-сиб.
западносибирское, зап.-сиб.
зарубежный, заруб.
зарубежная, заруб.
зарубежное, заруб.
заслуженный, засл.
заслуженная, засл.
заслуженное, засл.
звуковой, звук.
золотой, зол.
идеологический, идеологич.
идеологическая, идеологич.
идеологическое, идеологич.
известный, изв.
известная, изв.
известное, изв.
издание, изд.
издательский, издат.
издательская, издат.
издательское, издат.
издательство, изд-во
изобразительный, изобразит.
изобразительная, изобразит.
изобразительное, изобразит.
иллюстрация, илл.
иллюстрированный, иллюстрир.
иллюстрированная, иллюстрир.
иллюстрированное, иллюстрир.
имени, им.
император, имп.
ингушский, ингуш.
ингушская, ингуш.
ингушское, ингуш.
индивидуальный, индивид.
индивидуальная, индивид.
индивидуальное, индивид.
иностранный, иностр.
иностранная, иностр.
иностранное, иностр.
институт, ин-т
информационный, информ.
информационная, информ.
информационное, информ.
искусство, иск-во
искусственный, искусств.
искусственная, искусств.
искусственное, искусств.
испанский, исп.
испанская, исп.
испанское, исп.
исследование, иссл.
исследовательский, исслед.
исследовательская, исслед.
исследовательское, исслед.
исторический, историч.
историческая, историч.
историческое, историч.
итальянский, итал.
итальянская, итал.
итальянское, итал.
кавказский, кавказ.
кавказская, кавказ.
кавказское, кавказ.
каменный, кам.
каменная, кам.
каменное, кам.
капитальный, кап.
капитальная, кап.
капитальное, кап.
качественный, качеств.
качественная, качеств.
качественное, качеств.
квалифицированный, квалифицир.
квалифицированная, квалифицир.
квалифицированное, квалифицир.
керамический, керамич.
керамическая, керамич.
керамическое, керамич.
