abbreviation,encounters
г,22084
к-рый,5480
чел.,3518
т.,2765
дек.,2065
гг,2033
ок.,1982
ч.,1834
неск.,1770
вв.,1741
гг.,1602
род.,1448
д.,1437
м.,1410
им.,1320
назв.,1237
с.,1221
сов.,1142
напр.,1031
рос.,1031
нас.,941
кол-во,929
тыс.,914
кн.,900
офиц.,897
р-н,896
гос.,887
наиб.,867
рус.,844
б.,794
ум.,791
чл.,780
мн.,751
ин-т,741
гл.,716
пл.,712
впосл.,674
мир.,620
вкл.,612
нац.,610
моск.,584
ун-т,556
др.,546
гос-ва,524
яз.,523
изв.,517
амер.,506
долл.,501
млн,498
науч.,486
реж.,477
нач.,476
през.,473
отд.,465
засл.,457
гр.,457
посл.,452
пос.,450
пр-во,444
пам.,444
гор.,442
стр-во,438
быв.,437
нар.,426
ж.,416
худ.,401
произ-во,399
дир.,398
вел.,397
предс.,390
дл.,388
адм.,383
выс.,378
междунар.,362
франц.,359
сев.,356
зол.,340
след.,338
руб.,334
б-ка,333
изд-во,333
муз.,329
единств.,325
р.,325
газ.,324
зам.,323
центр.,319
сб.,315
юж.,314
мат-лы,312
в.,308
историч.,308
уч-ще,303
изд.,290
художеств.,288
совр.,287
об-во,284
нем.,283
рук.,282
полит.,280
серебр.,280
о-в,278
ред.,277
имп.,275
мл.,271
ф-т,264
дет.,259
вып.,255
зап.,254
рук-во,236
терр.,232
располож.,232
бронз.,226
оз.,224
респ.,222
секр.,220
укр.,219
орг-ция,218
сотр.,213
кон.,212
вопр.,210
мин-во,210
мон.,207
биогр.,206
англ,206
жен.,205
ж.-д.,205
собр.,201
ш.,200
брит.,199
архит.,196
созд.,193
муницип.,191
св.,190
обществ.,190
акад.,190
иск-во,189
исп.,185
гос-во,181
творч.,177
рим.,176
мемор.,174
вост.,169
жел.,166
откр.,165
лит.,165
окт.,157
ю.,157
итал.,157
лит-ра,155
зав.,153
экз.,148
высш.,143
иссл.,142
кам.,140
авг.,138
пост.,138
собств.,137
театр.,137
комис.,136
доп.,134
муж.,134
бр.,130
л.,130
сообщ.,126
постр.,125
вест.,124
кит.,124
белорус.,122
шир.,121
япон.,121
европ.,121
з.,121
террит.,121
польск.,121
бар.,120
драм.,119
дерев.,117
посв.,116
технич.,114
азерб.,113
произв.,112
документ.,109
янв.,108
татар.,107
врем.,104
просп.,104
обр.,104
сент.,103
дополнит.,102
летоп.,102
нояб.,100
ниж.,100
апр.,100
ленингр.,100
швед.,98
гражд.,94
пом.,94
