abbreviation,encounters
м,416
км,280
с,63
Б,58
г,34
Н,28
л,21
кг,20
°,18
мм,17
Па,15
см,13
Гц,12
К,10
В,5
кБ,5
Вт,5
Кл,4
кВт,3
Вб,3
МВт,2
ГВт,1
мкс,1
МБ,1
ПБ,1
ГБ,1
мкЗв,1
Дж,1
мс,1
А,1
Ф,1
кд,1
мкг,1
