" чечен.","20"
" специализир.","30"
" февр.","83"
" швед.","104"
" чл.-корр.","121"
" образоват.","55"
" см","3"
" драг.","8"
" библ.","10"
" сиб.","65"
" чугун.","5"
" корр.","32"
" бум.","11"
" стан.","34"
" азиат.","20"
" нумизматич.","7"
" загран.","5"
" прилож.","68"
" стилистич.","3"
" архитект.","47"
" бюлл.","19"
" справоч.","13"
" изобразит.","18"
" эстетич.","13"
" систематич.","18"
" самостоят.","60"
" яз-знание","8"
" уезд.","25"
" илл.","62"
" сохр.","21"
" мрам.","17"
" органич.","11"
" организац.","14"
" идеологич.","16"
" многочисл.","12"
" сост.","35"
" стекл.","19"
" эт.","47"
" послесл.","7"
" просп.","84"
" визант.","36"
" метал.","29"
" пластич.","5"
" количеств.","3"
" краеведч.","54"
" послед.","13"
" благотворит.","27"
" индивид.","50"
" хронолоrич.","7"
" фотогр.","9"
" религ.","51"
" письм.","61"
" всерос.","52"
" альм.","55"
"abbreviation","10"
" район.","57"
" т-во","44"
" башк.","59"
" осет.","22"
" прикл.","39"
" заруб.","23"
" философ.","69"
" дис.","38"
" печ.","44"
" наб.","33"
" торжеств.","43"
" старообрядч.","11"
" этнич.","31"
" губ.","26"
" синтетич.","10"
" эмоц.","14"
" наим.","27"
" позд.","18"
" экологич.","22"
" крест.","27"
" экз.","27"
" централиз.","13"
" аналитич.","27"
" наруж.","11"
" периодич.","12"
" кирп.","46"
" провинц.","17"
" ежекварт.","6"
" словесн.","10"
" преп.","34"
" фундамент.","20"
" звук.","30"
" испр.","15"
" коллекц.","7"
" преим.","3"
" типологич.","3"
" высококачеств.","4"
" перераб.","4"
" стихотв.","8"
" реставрац.","2"
" черкес.","4"
" сканд.","9"
" языч.","5"
" епарх.","10"
" реконстр.","7"
" систематизир.","1"
" подмоск.","11"
" учрежд.","7"
" национализ.","1"
" размещ.","3"
" якут.","20"
" см.","6"
" экспозиц.","2"
" флам.","11"
" зап.-европ.","3"
" веществ.","3"
" орнамент.","3"
" аристократич.","6"
" классификац.","4"
" терминологич.","4"
" ведомств.","4"
" руб.","51"
" пгр.","33"
" ингуш.","17"
" методич.","10"
" социологич.","9"
" купеч.","8"
" потомств.","6"
" полиграф.","6"
" лекц.","6"
" мордов.","6"
" отт.","6"
" методологич.","5"
" гуманистич.","5"
" экспедиц.","5"
" реорганиз.","4"
" фольк.","4"
" эксп.","4"
" специфич.","3"
" керамич.","3"
" прижизн.","3"
" квалифицир.","2"
" старослав.","2"
" театрализ.","2"
" лит-ведение","2"
" конфиск.","2"
" эволюц.","2"
" кириллич.","1"
" у.","1"
"к-рый","6611"
"т.","3360"
"дек.","2496"
"ч.","2167"
"ок.","2186"
"вв.","2084"
"неск.","1937"
"гг.","1919"
"д.","1662"
"сов.","1445"
"м.","1618"
"им.","1595"
"с.","1450"
"рос.","1267"
"назв.","1441"
"нас.","1123"
"напр.","1222"
"офиц.","1158"
"р-н","1046"
"кол-во","1162"
"наиб.","999"
"мн.","864"
"гос.","904"
"чл.","914"
"кн.","864"
"мир.","816"
"б.","890"
"гл.","870"
"амер.","688"
"ин-т","822"
"впосл.","796"
"нац.","796"
"пл.","800"
"яз.","730"
"др.","645"
"нач.","552"
"моск.","668"
"изв.","625"
"посл.","544"
"б-ка","430"
"худ.","491"
"вел.","414"
"вкл.","610"
"ж.","602"
"гос-ва","516"
"засл.","507"
"стр-во","520"
"гор.","455"
"гр.","454"
"в.","430"
"отд.","514"
"дл.","495"
"пос.","486"
"зол.","479"
"единств.","456"
"реж.","493"
"междунар.","492"
"пам.","458"
"ун-т","575"
"быв.","518"
"дир.","463"
"науч.","483"
"франц.","399"
"полит.","380"
"след.","398"
"р.","425"
"выс.","397"
"адм.","393"
"изд.","420"
"изд-во","355"
"през.","407"
"пр-во","395"
"сб.","387"
"об-во","329"
"нем.","380"
"нар.","400"
"центр.","375"
"зап.","369"
"историч.","341"
"сев.","357"
"газ.","300"
"укр.","332"
"о-в","331"
"предс.","429"
"зам.","387"
"совр.","354"
"акад.","224"
"уч-ще","356"
"художеств.","326"
"англ","300"
"брит.","297"
"муз.","315"
"мл.","290"
"мат-лы","356"
"мон.","262"
"серебр.","299"
"рук.","268"
"иск-во","282"
"л.","215"
"юж.","308"
"имп.","221"
"ред.","297"
"терр.","307"
"рук-во","305"
"респ.","243"
"вып.","284"
"произ-во","350"
"оз.","255"
"ф-т","321"
"секр.","277"
"муницип.","208"
"обществ.","231"
"располож.","244"
"гос-во","222"
"бронз.","239"
