abbreviation,encounters
г,25060
к-рый,6080
чел.,4042
т.,3103
дек.,2498
гг,2374
ок.,2253
вв.,1916
неск.,1904
ч.,1900
род.,1755
гг.,1721
д.,1667
м.,1522
им.,1501
с.,1431
сов.,1404
назв.,1386
рос.,1220
нас.,1188
напр.,1136
кн.,1131
офиц.,1083
кол-во,1050
р-н,1041
рус.,986
наиб.,979
гос.,972
пл.,912
чл.,909
ум.,902
тыс.,882
нац.,882
отд.,850
б.,841
мн.,830
гл.,803
мир.,792
впосл.,748
ин-т,721
гр.,658
вкл.,644
амер.,634
др.,626
долл.,578
изв.,578
моск.,571
ун-т,554
нач.,545
пос.,539
през.,533
гос-ва,529
ж.,519
млн,512
быв.,496
пам.,494
яз.,490
дл.,488
стр-во,486
реж.,483
междунар.,482
зол.,481
посл.,470
гор.,458
нем.,456
адм.,455
предс.,455
р.,447
засл.,446
вел.,437
след.,424
пр-во,419
изд.,414
нар.,414
руб.,413
выс.,410
сб.,406
сев.,402
в.,402
франц.,394
произ-во,391
единств.,382
зам.,376
дир.,375
науч.,366
худ.,365
полит.,349
муз.,346
изд-во,344
историч.,342
центр.,342
б-ка,334
терр.,328
вып.,324
совр.,323
мон.,320
ф-т,319
ред.,312
уч-ще,309
зап.,307
брит.,306
газ.,305
респ.,297
юж.,290
об-во,288
мл.,281
секр.,280
серебр.,277
о-в,276
имп.,271
биогр.,268
англ,265
укр.,262
рук.,259
орг-ция,259
иск-во,257
художеств.,252
располож.,252
кон.,248
мат-лы,246
оз.,245
рук-во,240
обществ.,232
польск.,227
собр.,227
творч.,222
лит.,222
гос-во,220
вост.,219
ж.-д.,218
экз.,217
авг.,217
бронз.,216
архит.,209
муницип.,207
иссл.,207
вопр.,206
св.,205
ю.,205
откр.,203
дет.,202
собств.,201
ш.,199
жен.,198
пост.,193
окт.,193
итал.,191
бр.,179
зав.,178
акад.,178
гражд.,175
рим.,172
созд.,168
дерев.,163
сообщ.,162
лит-ра,161
обр.,159
япон.,159
мин-во,156
жел.,155
комис.,150
документ.,148
европ.,147
вест.,147
сотр.,146
технич.,146
гал.,146
высш.,144
просп.,143
з.,142
посв.,140
шир.,138
л.,135
кам.,132
террит.,132
постр.,130
швед.,129
муж.,129
кит.,129
соц.,127
мемор.,126
древн.,125
произв.,122
апр.,122
нояб.,121
сент.,121
врем.,120
янв.,120
доп.,118
колл.,118
ниж.,117
тип.,116
белорус.,116
наст.,114
театр.,114
сотр-во,114
рец.,113
исп.,112
бар.,111
февр.,110
евр.,108
греч.,107
пом.,106
хут.,106
анс.,104
ленингр.,100
первонач.,98
австр.,98
пер.,98
б-ца,97
пед.,95
внутр.,94
дополнит.,94
летоп.,91
демокр.,88
район.,88
рис.,87
татар.,85
груз.,83
докл.,81
традиц.,81
пр.,79
социалистич.,79
классич.,77
авт.,77
сиб.,76
млрд,76
верх.,75
чл.-корр.,74
информ.,74
башк.,72
док-т,71
псевд.,71
фин.,71
венгер.,71
болг.,71
академич.,70
прилож.,70
коммерч.,70
клб,70
действит.,68
связ.,67
одноим.,67
драм.,66
опред.,66
персон.,65
букв.,63
церк.,62
азерб.,61
сокр.,61
хоз.,60
уч.,60
общ.,59
краеведч.,59
рев.,59
регион.,58
петерб.,57
внеш.,57
зал.,57
издат.,57
визант.,57
норв.,56
строит.,56
соч.,55
исслед.,55
дис.,54
религ.,54
самостоят.,53
географич.,51
иностр.,51
торжеств.,51
архитект.,51
уник.,50
республ.,50
дол.,49
австрал.,49
конф.,48
публич.,48
образоват.,47
христ.,47
арх-ра,47
объед.,46
кирп.,45
яросл.,44
т-во,44
нидерл.,43
революц.,43
филологич.,43
сост.,42
опубл.,41
прикл.,40
бельг.,40
метал.,40
тов.,40
слав.,39
искусств.,39
письм.,39
ср.-век.,39
эт.,38
иллюстрир.,38
бульв.,38
чечен.,38
этнографич.,37
п-ов,36
араб.,36
этнич.,36
всерос.,36
дипломатич.,35
эксперимент.,35
благотворит.,35
всесоюз.,35
кавказ.,34
индивид.,33
крест.,33
производств.,33
с.-петерб.,32
наб.,32
экологич.,32
перc.,32
кап.,32
м,32
пгр.,31
печ.,31
публ.,30
км,30
звук.,30
археологич.,30
четв.,30
универс.,29
философ.,29
корр.,29
правительств.,29
организац.,27
библ.,27
заключ.,27
просв.,27
голл.,27
пожизн.,27
урал.,26
позд.,25
преп.,25
чуваш.,25
стан.,25
уезд.,25
послед.,25
теоретич.,24
графич.,24
илл.,23
альм.,23
наим.,22
комм.,22
фундамент.,21
губ.,21
мрам.,21
азиат.,21
прим.,20
вспомогат.,20
специализир.,20
провинц.,20
предисл.,19
справоч.,19
сохр.,19
фактич.,19
монг.,19
мифол.,18
будд.,18
декор.,18
периодич.,18
эмоц.,17
аналитич.,17
скульпт.,17
разл.,17
переим.,17
заруб.,17
драг.,17
качеств.,16
потомств.,16
методич.,15
стихотв.,15
княж.,15
др.-рус.,14
систематич.,14
бюлл.,14
цв.,13
стекл.,12
централиз.,12
бум.,12
размещ.,12
многочисл.,12
изобразит.,12
языч.,12
флам.,11
старообрядч.,11
сузд.,11
осет.,11
наруж.,10
функц.,10
эксп.,10
монумент.,10
учрежд.,10
керамич.,10
количеств.,9
подмоск.,9
тематич.,9
эстетич.,9
чугун.,9
нумизматич.,9
см.,9
испр.,8
эволюц.,8
коллекц.,8
фотогр.,8
органич.,8
стилистич.,7
лит-ведение,7
купеч.,7
веществ.,7
епарх.,7
якут.,7
полиграф.,7
послесл.,7
яз-знание,7
сканд.,6
социологич.,6
фольк.,6
экспедиц.,6
идеологич.,6
артистич.,6
abbreviation,5
черкес.,5
редакц.,5
мордов.,5
загран.,5
методологич.,4
словесн.,4
аристократич.,4
реконстр.,4
синод.,4
пластич.,4
прижизн.,4
ежекварт.,4
старослав.,4
зап.-европ.,4
ингуш.,4
высококачеств.,3
отт.,3
преим.,3
хронолоrич.,3
экспозиц.,3
классификац.,3
кириллич.,3
систематизир.,2
ведомств.,2
типологич.,2
реставрац.,2
орнамент.,2
лекц.,2
специфич.,2
см,2
театрализ.,2
синтетич.,2
квалифицир.,1
реорганиз.,1
конфиск.,1
декорац.,1
гуманистич.,1
трлн,1
кн-во,1
догматич.,1
ср.,1
