abbreviation,encounters
м,791
км,400
с,163
г,54
°,40
см,35
мм,32
Па,30
Н,29
кг,25
л,21
Вб,15
В,9
А,5
Кл,4
Б,4
Гц,4
К,4
Дж,3
Вт,2
Бк,2
кВт,2
мс,2
ГБ,1
Ф,1
ср,1
ПБ,1
мкм,1
дал,1
кБ,1
ТБ,1
нГц,1
МДж,1
