abbreviation,encounters
г,100
к-рый,25
дек.,15
т.,11
изд-во,11
ж.,9
пам.,9
чел.,8
им.,8
гг,7
вв.,7
мрам.,7
гл.,7
дл.,6
офиц.,6
сб.,6
гг.,6
дир.,6
ок.,6
д.,5
нас.,5
пл.,5
сов.,5
род.,5
нем.,5
впосл.,4
неск.,4
б.,4
назв.,4
газ.,4
ч.,4
шир.,3
с.,3
науч.,3
гор.,3
дет.,3
кол-во,3
мн.,3
яз.,3
гос-ва,3
мир.,3
архит.,3
напр.,3
серебр.,3
посл.,3
ж.-д.,3
бронз.,3
пост.,2
л.,2
ум.,2
зап.,2
муницип.,2
пос.,2
руб.,2
м.,2
рос.,2
рус.,2
постр.,2
нач.,2
мемор.,2
торжеств.,2
эт.,2
междунар.,2
гр.,2
дерев.,2
древн.,2
биогр.,2
р-н,2
юж.,2
пер.,2
центр.,2
сев.,1
адм.,1
единств.,1
органич.,1
ф-т,1
иссл.,1
амер.,1
собств.,1
изд.,1
доп.,1
англ,1
совр.,1
вопр.,1
сотр.,1
изв.,1
просп.,1
гос.,1
прикл.,1
созд.,1
б-ка,1
кн.,1
нар.,1
просв.,1
худ.,1
рев.,1
уч-ще,1
внутр.,1
след.,1
рук-во,1
орг-ция,1
кон.,1
посв.,1
вспомогат.,1
пед.,1
мин-во,1
рук.,1
наиб.,1
обр.,1
традиц.,1
нац.,1
петерб.,1
в.,1
австр.,1
ред.,1
чл.,1
франц.,1
документ.,1
мл.,1
уник.,1
археологич.,1
полит.,1
художеств.,1
мат-лы,1
др.-рус.,1
ср.-век.,1
наст.,1
оз.,1
моск.,1
укр.,1
ниж.,1
соч.,1
вест.,1
вкл.,1
исп.,1
респ.,1
вел.,1
засл.,1
врем.,1
