abbreviation,encounters
г,16423
к-рый,4214
чел.,2701
т.,2103
дек.,1662
гг,1437
ок.,1432
неск.,1418
ч.,1364
гг.,1249
вв.,1186
род.,1033
им.,936
д.,929
назв.,923
с.,919
сов.,876
м.,870
нас.,756
рос.,731
офиц.,721
напр.,698
наиб.,679
кол-во,667
р-н,661
тыс.,654
б.,631
гос.,614
рус.,610
ин-т,605
чл.,597
мн.,596
гл.,583
нац.,559
ум.,556
кн.,538
впосл.,528
мир.,509
пл.,489
амер.,462
вкл.,454
ун-т,448
моск.,428
долл.,413
др.,409
посл.,407
изв.,396
яз.,388
засл.,364
гос-ва,359
дл.,358
ж.,352
быв.,346
нач.,345
науч.,340
отд.,340
реж.,333
пам.,332
млн,330
пр-во,327
междунар.,325
стр-во,318
р.,318
нем.,311
през.,307
руб.,304
нар.,301
уч-ще,295
след.,292
выс.,282
гор.,281
зол.,280
единств.,277
франц.,277
пос.,276
изд.,276
худ.,274
адм.,269
историч.,269
в.,268
гр.,268
дир.,267
ф-т,263
полит.,260
произ-во,253
предс.,251
о-в,245
б-ка,241
ред.,240
сев.,236
зам.,235
юж.,235
центр.,232
сб.,228
газ.,225
вып.,222
вел.,221
мат-лы,220
терр.,217
об-во,214
муз.,202
рук-во,198
серебр.,195
англ,195
секр.,194
зап.,193
изд-во,191
орг-ция,190
совр.,190
откр.,183
дет.,182
имп.,178
располож.,177
рук.,176
мон.,166
брит.,163
вопр.,161
укр.,159
мл.,158
ш.,155
оз.,155
жен.,151
кон.,149
япон.,148
ж.-д.,147
итал.,147
обществ.,146
иск-во,145
собств.,145
художеств.,144
биогр.,142
собр.,141
мин-во,140
вост.,138
гос-во,138
респ.,132
лит.,132
муницип.,131
пост.,130
окт.,129
произв.,129
бронз.,127
творч.,127
сообщ.,123
посв.,120
сотр.,120
рим.,118
документ.,118
ю.,117
вест.,116
созд.,115
экз.,113
иссл.,113
св.,109
авг.,107
архит.,106
з.,106
соц.,106
польск.,105
л.,102
обр.,102
кам.,101
технич.,100
жел.,100
постр.,100
пед.,100
анс.,100
исп.,100
греч.,98
бр.,97
хут.,96
дополнит.,95
акад.,95
бар.,94
янв.,93
драм.,91
мемор.,91
зав.,91
театр.,90
лит-ра,90
высш.,88
пом.,88
февр.,87
гражд.,87
дерев.,86
сент.,84
древн.,83
шир.,82
рис.,82
сиб.,81
муж.,81
европ.,80
наст.,78
гал.,78
комис.,78
нояб.,75
рец.,75
бульв.,75
террит.,74
доп.,74
ленингр.,74
белорус.,74
кит.,72
просп.,71
внутр.,71
апр.,70
млрд,69
ниж.,68
болг.,68
внеш.,67
врем.,64
связ.,64
коммерч.,63
груз.,62
рев.,62
колл.,61
сотр-во,61
демокр.,60
евр.,59
традиц.,59
религ.,59
букв.,59
австр.,58
верх.,57
регион.,56
летоп.,56
первонач.,55
тип.,52
информ.,51
зал.,51
самостоят.,50
район.,50
пр.,50
исслед.,49
академич.,49
б-ца,49
прилож.,49
авт.,47
действит.,47
республ.,46
швед.,46
сокр.,45
чл.-корр.,45
докл.,45
опред.,45
одноим.,45
церк.,44
строит.,43
пер.,43
татар.,43
персон.,43
арх-ра,42
уник.,41
архитект.,41
араб.,41
клб,41
псевд.,40
уч.,40
издат.,39
классич.,38
док-т,38
опубл.,38
общ.,38
просв.,36
яросл.,36
дол.,36
соч.,36
образоват.,35
норв.,35
всерос.,35
социалистич.,35
венгер.,35
азерб.,35
географич.,34
цв.,33
альм.,33
торжеств.,33
хоз.,32
эт.,32
голл.,32
п-ов,32
краеведч.,30
публич.,30
объед.,30
тов.,30
метал.,29
философ.,29
слав.,28
урал.,28
пгр.,28
башк.,28
археологич.,28
км,27
илл.,27
т-во,27
конф.,27
фин.,27
этнографич.,27
петерб.,27
перc.,27
всесоюз.,26
австрал.,26
иностр.,26
иллюстрир.,26
этнич.,26
с.-петерб.,26
революц.,25
бельг.,25
прикл.,25
м,25
христ.,25
универс.,25
кавказ.,25
эксперимент.,25
производств.,23
искусств.,23
декор.,23
филологич.,23
сост.,23
экологич.,23
прим.,23
дис.,23
фольк.,23
будд.,22
азиат.,22
нидерл.,22
четв.,22
теоретич.,22
корр.,22
кирп.,22
крест.,21
заключ.,21
публ.,20
уезд.,20
специализир.,20
провинц.,20
позд.,19
звук.,18
дипломатич.,18
ср.-век.,18
стан.,18
графич.,17
благотворит.,17
переим.,17
пожизн.,17
качеств.,17
трлн,17
наим.,16
библ.,16
заруб.,16
наб.,16
фактич.,16
аналитич.,16
наруж.,16
индивид.,16
предисл.,15
послед.,15
стекл.,15
правительств.,14
методич.,14
губ.,14
визант.,14
письм.,14
бум.,13
комм.,13
систематич.,13
сохр.,13
коллекц.,13
мрам.,12
чуваш.,12
кап.,12
справоч.,12
периодич.,12
печ.,11
тематич.,11
послесл.,11
функц.,11
монг.,11
испр.,10
социологич.,10
органич.,9
преп.,9
монумент.,9
разл.,9
бюлл.,8
организац.,8
вспомогат.,7
потомств.,7
эмоц.,7
изобразит.,7
количеств.,7
драг.,7
идеологич.,7
эстетич.,7
княж.,7
старообрядч.,6
квалифицир.,6
сканд.,6
экспедиц.,6
купеч.,6
скульпт.,6
фундамент.,6
языч.,6
хронолоrич.,6
мордов.,6
эксп.,5
якут.,5
учрежд.,5
централиз.,5
флам.,5
аристократич.,5
полиграф.,5
подмоск.,5
abbreviation,5
многочисл.,5
лекц.,4
стилистич.,4
зап.-европ.,4
стихотв.,4
мифол.,4
реконстр.,4
см.,4
высококачеств.,4
др.-рус.,4
чечен.,4
синод.,3
прижизн.,3
редакц.,3
чугун.,3
загран.,3
методологич.,3
керамич.,3
яз-знание,3
экспозиц.,3
сузд.,3
специфич.,2
перераб.,2
епарх.,2
артистич.,2
словесн.,2
реорганиз.,2
ежекварт.,2
ведомств.,2
ингуш.,2
размещ.,2
фотогр.,2
классицистич.,2
декорац.,2
эволюц.,2
см,2
реставрац.,2
черкес.,1
синтетич.,1
конфиск.,1
классификац.,1
нумизматич.,1
национализ.,1
гуманистич.,1
терминологич.,1
кн-во,1
зап.-сиб.,1
веществ.,1
осет.,1
лит-ведение,1
