abbreviation,encounters
м,314
км,203
с,66
л,25
Н,16
Па,16
В,16
°,14
г,12
кг,7
см,7
мм,7
Кл,5
Гц,4
К,3
гл,3
Ф,2
Вб,1
МБ,1
Бк,1
кБ,1
дал,1
А,1
кВт,1
нм,1
Вт,1
