abbreviation,encounters
г,138
к-рый,45
чел.,32
им.,23
т.,18
дек.,17
рос.,16
ок.,15
пос.,15
м.,13
стр-во,12
сов.,11
род.,11
ч.,11
нас.,10
гг.,10
моск.,10
млн,10
неск.,10
назв.,9
долл.,9
б.,9
изд.,8
гг,8
зам.,8
офиц.,8
б-ка,8
д.,8
р-н,7
вост.,7
гл.,7
нац.,7
сев.,6
след.,6
вв.,6
засл.,6
ин-т,6
рус.,5
пл.,5
впосл.,5
др.,5
выс.,5
отд.,5
руб.,4
чл.,4
пр-во,4
дл.,4
нач.,4
уч-ще,4
пам.,4
мемор.,4
историч.,4
гор.,4
нар.,4
посл.,4
кол-во,4
науч.,4
амер.,4
быв.,4
ж.,3
произ-во,3
объед.,3
орг-ция,3
мир.,3
евр.,3
тип.,3
мн.,3
ум.,3
междунар.,3
кн.,3
ниж.,3
рук.,3
муз.,3
откр.,3
летоп.,3
адм.,3
през.,3
пед.,3
клб,3
биогр.,2
з.,2
пом.,2
нояб.,2
л.,2
псевд.,2
рук-во,2
жел.,2
экз.,2
гос.,2
ленингр.,2
строит.,2
гражд.,2
лит-ра,2
акад.,2
пост.,2
предс.,2
прим.,2
комм.,2
вест.,2
изд-во,2
напр.,2
совр.,2
авт.,2
демокр.,2
публ.,2
вкл.,2
рис.,2
рец.,2
произв.,2
единств.,2
постр.,2
имп.,2
яз.,2
гос-ва,2
наиб.,2
ж.-д.,2
с.,2
греч.,2
внутр.,2
груз.,1
прилож.,1
февр.,1
секр.,1
р.,1
ю.,1
км,1
полит.,1
методич.,1
искусств.,1
бр.,1
вып.,1
справоч.,1
архит.,1
бульв.,1
п-ов,1
док-т,1
врем.,1
художеств.,1
собр.,1
лит.,1
всесоюз.,1
дис.,1
окт.,1
классич.,1
действит.,1
посв.,1
регион.,1
драм.,1
муж.,1
мифол.,1
заключ.,1
ред.,1
с.-петерб.,1
ун-т,1
высш.,1
шир.,1
универс.,1
м,1
террит.,1
сотр.,1
верх.,1
первонач.,1
ср.-век.,1
обр.,1
творч.,1
древн.,1
альм.,1
в.,1
связ.,1
мат-лы,1
чугун.,1
опред.,1
зал.,1
загран.,1
пр.,1
швед.,1
зап.,1
илл.,1
газ.,1
янв.,1
сб.,1
просп.,1
информ.,1
кам.,1
мрам.,1
документ.,1
яросл.,1
изв.,1
брит.,1
жен.,1
располож.,1
образоват.,1
центр.,1
театр.,1
башк.,1
бельг.,1
тыс.,1
рев.,1
