abbreviation,encounters
г,553
чел.,194
род.,182
гг,89
в,67
рус.,20
млн,11
тыс.,10
ум.,9
англ.,9
долл.,8
букв.,5
экз.,4
обр.,4
руб.,4
сокр.,3
клб,3
млрд,1
