abbreviation,encounters
г,35266
к-рый,8961
чел.,5845
т.,4408
дек.,3714
гг,3365
ок.,3021
ч.,2964
неск.,2795
гг.,2724
вв.,2700
род.,2344
д.,2159
им.,2139
сов.,2127
м.,2124
назв.,2018
с.,1975
рос.,1751
напр.,1715
нас.,1613
офиц.,1599
кол-во,1574
кн.,1523
рус.,1503
гос.,1424
р-н,1387
тыс.,1379
наиб.,1342
чл.,1329
ум.,1276
б.,1260
ин-т,1254
мн.,1212
мир.,1203
гл.,1168
пл.,1088
нац.,1076
впосл.,1053
амер.,1039
вкл.,939
моск.,920
др.,901
ун-т,884
реж.,880
изв.,878
гр.,871
ж.,798
пам.,776
яз.,769
нач.,757
пос.,747
гос-ва,745
отд.,734
междунар.,731
посл.,715
стр-во,701
зам.,701
млн,696
долл.,689
засл.,687
науч.,682
гор.,674
през.,667
нар.,655
быв.,654
нем.,653
пр-во,627
юж.,617
адм.,613
дл.,613
предс.,606
франц.,604
зол.,603
дир.,602
изд.,594
в.,593
полит.,590
худ.,588
изд-во,588
вел.,582
выс.,566
сб.,559
уч-ще,558
единств.,557
произ-во,555
р.,552
след.,547
сев.,546
ф-т,532
серебр.,530
центр.,529
укр.,528
историч.,499
зап.,494
мат-лы,486
муз.,486
вып.,484
об-во,481
орг-ция,478
о-в,477
руб.,446
совр.,441
художеств.,438
терр.,437
ред.,435
б-ка,432
мл.,431
англ,415
рук-во,411
иск-во,407
вопр.,403
газ.,396
секр.,392
мон.,379
вост.,364
респ.,358
бронз.,357
оз.,356
польск.,355
ж.-д.,350
брит.,349
располож.,341
собр.,339
биогр.,330
кон.,329
откр.,326
гос-во,325
рук.,324
дет.,323
творч.,322
экз.,310
обществ.,310
имп.,309
созд.,301
св.,301
иссл.,291
жен.,283
собств.,278
итал.,278
ш.,277
мин-во,267
муницип.,266
зав.,264
лит-ра,263
япон.,262
лит.,261
окт.,259
авг.,259
ю.,258
акад.,253
технич.,253
сообщ.,243
вест.,241
з.,239
документ.,237
сотр.,232
ниж.,229
бр.,228
пост.,227
комис.,218
хут.,217
кит.,213
исп.,210
сент.,205
архит.,205
дополнит.,203
доп.,202
рим.,195
сотр-во,194
белорус.,194
л.,193
высш.,193
посв.,190
гражд.,189
жел.,187
шир.,185
дерев.,184
европ.,180
произв.,180
обр.,177
постр.,177
наст.,173
пед.,169
евр.,169
бар.,169
муж.,167
апр.,166
террит.,166
гал.,166
театр.,165
мемор.,165
врем.,163
древн.,163
янв.,161
рец.,161
кам.,152
нояб.,151
соц.,150
млрд,148
б-ца,147
февр.,145
греч.,145
австр.,143
швед.,143
пом.,139
груз.,139
просп.,132
внутр.,130
колл.,125
авт.,125
букв.,124
прилож.,123
традиц.,123
рис.,123
пр.,122
конф.,121
одноим.,120
венгер.,118
рев.,118
анс.,117
сиб.,117
демокр.,116
связ.,112
классич.,112
район.,112
действит.,111
первонач.,111
верх.,110
ленингр.,110
летоп.,109
болг.,109
док-т,107
зал.,107
опред.,106
академич.,106
коммерч.,106
тип.,106
исслед.,105
республ.,104
регион.,104
чл.-корр.,103
татар.,102
сокр.,102
азерб.,100
клб,100
фин.,99
австрал.,98
религ.,98
арх-ра,98
социалистич.,97
географич.,96
информ.,96
самостоят.,95
внеш.,95
драм.,95
уч.,95
революц.,94
урал.,94
араб.,92
общ.,92
докл.,92
философ.,92
илл.,90
уник.,87
псевд.,86
соч.,84
пер.,84
персон.,83
яросл.,82
всерос.,82
башк.,82
церк.,81
дол.,80
публич.,80
издат.,79
архитект.,78
визант.,73
иностр.,72
хоз.,72
объед.,72
бульв.,71
п-ов,71
торжеств.,69
производств.,68
дис.,68
краеведч.,68
христ.,66
опубл.,66
письм.,66
образоват.,65
комм.,64
публ.,63
т-во,62
слав.,62
норв.,60
археологич.,60
якут.,60
голл.,59
ср.-век.,59
нидерл.,59
петерб.,58
эт.,57
индивид.,56
с.-петерб.,55
строит.,54
этнич.,54
альм.,53
корр.,51
кавказ.,51
эксперимент.,51
звук.,51
просв.,50
кирп.,50
м,50
искусств.,49
цв.,49
иллюстрир.,49
филологич.,49
чуваш.,49
фактич.,48
монг.,47
предисл.,47
крест.,47
прикл.,47
всесоюз.,46
стан.,46
универс.,46
бельг.,46
метал.,44
правительств.,43
тов.,42
аналитич.,42
графич.,42
декор.,41
перc.,40
благотворит.,40
губ.,40
экологич.,39
сост.,38
км,38
наб.,38
бум.,37
теоретич.,36
пгр.,36
преп.,35
послед.,35
качеств.,35
скульпт.,35
заключ.,34
специализир.,34
систематич.,33
организац.,32
четв.,31
фундамент.,31
азиат.,31
вспомогат.,31
кап.,31
дипломатич.,30
этнографич.,29
прим.,29
разл.,28
печ.,28
бюлл.,28
позд.,27
органич.,27
стекл.,27
многочисл.,26
справоч.,26
мордов.,25
провинц.,25
переим.,25
методич.,24
уезд.,24
заруб.,23
наруж.,23
будд.,22
яз-знание,22
осет.,22
централиз.,22
испр.,22
сузд.,21
наим.,20
монумент.,20
др.-рус.,19
флам.,19
эмоц.,19
драг.,18
периодич.,18
функц.,18
полиграф.,18
идеологич.,18
изобразит.,18
эстетич.,17
тематич.,17
чечен.,17
стихотв.,16
мрам.,16
сохр.,16
пожизн.,16
фольк.,15
загран.,15
княж.,14
потомств.,13
библ.,13
количеств.,13
словесн.,13
см.,12
эволюц.,12
трлн,12
послесл.,11
социологич.,11
методологич.,10
зап.-европ.,10
кириллич.,10
сканд.,9
мифол.,9
старообрядч.,8
подмоск.,8
прижизн.,8
редакц.,8
аристократич.,7
епарх.,7
abbreviation,7
коллекц.,7
чугун.,7
керамич.,7
экспедиц.,7
веществ.,7
учрежд.,6
фотогр.,6
языч.,6
нумизматич.,6
черкес.,6
см,6
размещ.,6
реорганиз.,6
купеч.,6
эксп.,6
терминологич.,5
квалифицир.,5
классификац.,5
стилистич.,5
хронолоrич.,5
кн-во,4
ежекварт.,4
археогр.,4
синтетич.,4
ведомств.,4
реконстр.,4
орнамент.,4
экспозиц.,3
артистич.,3
ингуш.,3
догматич.,3
театрализ.,3
лекц.,3
отт.,2
яз-ведение,2
гуманистич.,2
зап.-сиб.,2
декорац.,2
конфиск.,2
специфич.,2
преим.,2
реставрац.,2
пластич.,2
лит-ведение,2
синод.,2
высококачеств.,1
систематизир.,1
классицистич.,1
перераб.,1
реставр.,1
старослав.,1
у.,1
