+,плюс
-,минус
±,плюс-минус
=,равно
>,больше
<,меньше
==,равно
≡,тождественео
⇔,равносильно
∃,существует
¬,не
∧,и
∨,или
⇒,следовательно
→,следовательно
⊃,следовательно
α,альфа
Β,вита
β,бета
Γ,гамма
γ,гамма
Δ,дельта
ε,эпсилон
Ζ,зита
ζ,дзета
Η,ита
Θ,фита
θ,тета
κ,каппа
λ,лямбда
Λ,ламда
Μ,ми
μ,мю
ν,ню
ξ,кси
ο,омикрон
π,пи
ρ,ро
Σ,сигма
τ,тау
Τ,таф
υ,ипсилон
φ,фи
χ,хи
ψ,пси
ω,омега
